Unité,Français,Allemand,
,les stylos,die Kulis,
,le crayon,der Bleistift,
,les crayons,die Bleistifte,
,la gomme,der Radiergummi,
,les gommes,die Radiergummis,
,la règle,das Lineal,
,les règles,die Lineale,
,les ciseaux,die Schere,
,Que se passe-t-il ?,Was ist los ?,
,d'abord,zuerst,
,"après, ensuite",dann,
,"après, ensuite",danach,
,être là,da sein,
,il est là,er ist da,
,"être parti, ne plus être là, avoir disparu",weg sein,
,il est parti,er ist weg,
,avoir de la chance,Glück haben,
,il a de la chance,er hat Glück,
,Mince alors !,So ein Mist !,
,le téléphone portable,das Handy,
,les téléphones portables,die Handys,
,le porte-monnaie,das Portemonnaie,
,les portes-monnaie,die Portemonnaies,
,la batterie (rechargeable),der Akku,
,les batteries (rechargeables),die Akkus,
,vide,leer,
,sonner,klingeln,
,ça sonne,es klingelt,
,être trop tard,zu spät sein,
,il est en retard,es ist zu spät,
,"l'homme, l'être humain",der Mensch,
,"les hommes, les êtres humains",die Menschen,
,le robot,der Roboter,
,les robots,die Roboter,
K3,les parents,die Eltern,
,le père,der Vater,
,les pères,die Väter,
,la mère,die Mutter,
,les mères,die Mütter,
,le grand-papa,der Opa,
,les grands-papas,die Opas,
,la grand-maman,die Oma,
,les grands-mamans,die Omas,
,le frère,der Bruder,
,les frères,die Brüder,
,la soeur,die Schwester,
,les soeurs,die Schwestern,
,l'oncle,der Onkel,
,les oncles,die Onkel,
,die Tante,die Tante,
,le grand-père,der Grossvater,
,les grands-pères,die Grossväter,
,la grand-mère,die Grossmutter,
,les grands-mères,die Grossmütter,
,les frères et soeurs,die Geschwister,
,la fille,die Tochter,
,les filles,die Töchter,
,le fils,der Sohn,
,les fils,die Söhne,
,le cousin,der Cousin,
,la cousine,die Cousine,
,les cousins,die Cousins,
,les cousines,die Cousinen,
,marié,verheiratet,
,divorcé,geschieden,
,vivre,leben,
,il vit,er lebt,
,amoureux,verliebt,
,le métier,der Beruf,
,les métiers,die Berufe,
,le policier,der Polizist,
,les policiers,die Polizisten,
,la policière,die Poolizistin,
,les policières,die Poolizistinnen,
,le médecin,der Arzt,
,les médecins,die Ärzte,
,la médecin,die Ärztin,
,les médecins (femmes),die Ärztinnen,
,le chanteur,der Sänger,
,les chanteurs,die Sänger,
,la chanteuse,die Sängerin,
,les chanteuses,die Sängerinnen,
,le coiffeur,der Frisör,
,les coiffeurs,die Frisöre,
,la coifeuse,die Frisörin,
,les coiffeuses,die Frisörinnen,
,le boulanger,der Bäcker,
,les boulangers,die Bäcker,
,la boulangère,de Bäckerin,
,les boulangères,de Bäckerinnen,
,le mécanicien,der Mechaniker,
,les mécaniciens,die Mechaniker,
,la mécanicienne,die Mechanikerin,
,les mécaniciennes,die Mechanikerinnen,
,l'acteur,der Schauspieler,
,les acteurs,die Schauspieler,
,l’actrice,die Schauspielerin,
,les actrices,die Schauspielerinnen,
,le vendeur,der Verkäufer,
,les vendeurs,die Verkäufer,
,la vendeuse,die Verkäuferin,
,les vendeuses,die Verkäuferinnen,
,l'informaticien,der Informatiker,
,les informaticiens,die Informatiker,
,l’informaticienne,die Informatikerin,
,les informaticiennes,die Informatikerinnen,
,le secrétaire,der Sekretär,
,les secrétaires,die Sekretäre,
,la secrétaire,die Sekretärin,
,les secrétaires (femmes),die Sekretärinnen,
,La secrétaire écrit des lettres.,Die Sekretärin schreibt Briefe.,
,l'homme au foyer,der Hausmann,
,les hommes au foyer,die Hausmänner,
,la femme au foyer,die Hausfrau,
,les femmes au foyer,die Hausfrauen,
,cuisiner,kochen,
,il cuisine,er kocht,
,peindre,malen,
,il peint,er malt,
,bricoler,basteln,
,il bricole,er bastelt,
,grimper,klettern,
,il grimpe,er klettert,
,rire,lachen,
,il rit,er lacht,
,"dormir, dormi",schlafen,
,il dort,er schläft,
,téléphoner,telefonieren,
,il téléphone,er telefoniert,
,cuire au four,backen,
,il cuit au four,er backt,
,faire de la gymnastique,turnen,
,il fait de la gym,er turnt,
,Mofa fahren,aller à vélomoteur,
,Motorrad fahren,aller en moto,
,er fährt Mofa,il va à vélomoteur,
,das Schlagzeug,"la batterie, les percussions",
,Er spielt Schlagzeug.,Il joue de la batterie.,
,la chambre,das Zimmer,
,les chambres,die Zimmer,
,le jardin,der Garten,
,les jardins,die Gärten,
,Hausaufgaben machen,faire ses devoirs,
,er macht Hausaufgaben,il fait ses devoirs,
,le salon,das Wohnzimmer,
,les salons,die Wohnzimmer,
,la chambre à coucher,das Schlafzimmer,
,les chambres à coucher,die Schlafzimmer,
,la cuisine,die Küche,
,les cuisines,die Küchen,
,la salle de bain,das Bad,
,les salles de bain,die Bäder,
,se doucher,duschen,
,il se douche,er duscht,
,la cave,der Keller,
,les caves,die Keller,
,laver,waschen,
,il lave,er wäscht,
,le garage,die Garage,
,les garages,die Garagen,
K4,Joyeux anniversaire !,Herzlichen Glückwunsch zum Geburtstag!,
,Joyeuses Pâques!,Frohe Ostern!,
,Joyeux Noël,Frohe Weihnachten!,
,Tout de bon !,Alles Gute!,
,Tu viens ?,Kommst du ?,
,Bonne chance !,Viel Glück!,
,Bon voyage !,Gute Reise!,
,Bon rétablissement !,Gute Besserung!,
,Bon appétit !,Guten Appetit!,
,l'anniversaire,der Geburtstag,
,les anniversaires,die Geburtstage,
,Quand as-tu ton anniversaire ?,Wann hast du Geburtstag ?,
,J'ai mon anniversaire le ...,Ich habe am ... Geburtstag.,
,la fête,die Party,
,les fêtes,die Partys,
,Comment était la fête ?,Wie war die Party?,
,la fête était super !,Die Party war super!,
,le gâteau,der Kuchen,
,les gâteaux,die Kuchen,
,le jus,der Saft,
,les jus,die Säfte,
,le cadeau,das Geschenk,
,les cadeaux,die Geschenke,
,le thé froid,der Eistee,
,les thés froids,die Eistees,
,la fête d'anniversaire,die Geburtstagsparty,
,"fêter, faire la fête",feiern,
,il fête,er feiert,
,Nous faisons la fête dans le jardin.,Wir feiern im Garten.,
,inviter,einladen,
,il invite,er lädt ein,
,J'invite mes amis.,Ich lade meine Freunde ein.,
,Viens donc plus tard !,Komm doch später!,
,apporter,mitbringen,
,il apporte,er bringt ... mit,
,Elle apporte un cadeau.,Sie bringt ein Geschenk mit.,
,"l'excursion, la sortie",der Ausflug,
,"les excursions, les sorties",die Ausflüge,
,Nous faisons une excursion à la montagne.,Wir machen einen Ausflug in die Berge.,
,"l'hôte, l'invité",der Gast,
,"les hôtes, les invités",die Gäste,
,"Hier, je n'avais pas le temps.",Gestern hatte ich keine Zeit.,
,"Hier, je n'avais pas envie.",Gestern hatte ich keine Lust.,
,se lever tôt,früh aufstehen,
,il se lève tôt,er steht früh auf,
,dormir longtemps,lange schlafen,
,il dort longtemps,er schläft lange,
,l'invitation,die Einladung,
,les invitations,die Einladungen,
,Merci pour ton invitation.,Danke für deine Einladung.,
,les jeunes,die Jugendlichen,
,le roi,der König,
,la reine,die Königin,
,au printemps,im Frühling,
,en été,im Sommer,
,en automne,im Herbst,
,en hiver,im Winter,
,le mois,der Monat,
,les mois,die Monate,
,en janvier,im Januar,
,en février,im Februar,
,en mars,im März,
,en avril,im April,
,en mai,im Mai,
,en juin,im Juni,
,en juillet,im Juli,
,en août,im August,
,en septembre,im September,
,en octobre,im Oktober,
,en novembre,im November,
,en décembre,im Dezember,
,le calendrier,der Kalender,
,la saison,die Jahreszeit,
,les saisons,die Jahreszeiten,
,Il y a quatre saisons.,Es gibt vier Jahreszeiten.,
,toujours,immer,
,"le plus souvent, la plupart du temps",meistens,
,souvent,oft,
,parfois,manchmal,
,jamais,nie,
,"mal, mauvais",schlecht,
,"bon, bien",gut,
,malade,krank,
,Comment vas-tu?,Wie geht es dir?,
,Je vais mal.,Es geht mir schlecht.,
,Je ne vais pas très bien.,Es geht mir nicht so gut.,
,Je vais mieux.,Es geht mir besser.,
,J'ai de la fièvre.,Ich habe Fieber.,
,J'ai mal au ventre.,Ich habe Bauchweh.,
,"Hier, j'avais mal à la tête.",Gestern hatte ich Kopfweh.,
,Es-tu de nouveau en forme ?,Bist du jetzt wieder o. k. ?,
,l'accident,der Unfall,
,les accidents,die Unfälle,
,l'hôpital,das Krankenhaus,
,les hôpitaux,die Krankenhäuser,
,Tu étais à l'hôpital ?,Warst du im Krankenhaus?,
,"terrible, horrible",furchtbar,
,Le test était horrible !,Der Test war furchtbar!,
,la catastrophe,die Katastrophe,
,les catastrophes,die Katastrophen,
K5,la carte,die Karte,
,les cartes,die Karten,
,Où est-ce que ça se trouve?,Wo liegt das ?,
,au nord,im Norden,
,au sud,im Süden,
,à l'est,im Osten,
,à l'ouest,im Westen,
,au milieu,in der Mitte,
,vivre,leben,
,il vit,er lebt,
,Où vit-il ?,Wo lebt er ?,
,Il vit à Istanbul.,Er lebt in Istanbul.,
,la capitale,die Hauptstadt,
,les capitales,die Hauptstädte,
,Berlin est la capitale de l'Allemagne.,Berlin ist die Hauptstadt von Deutschland.,
,se trouver,liegen,
,il se trouve,er liegt,
,Où se trouve Hambourg/Lucerne ?,Wo liegt Hamburg/Luzern ?,
,Hambourg est située dans le nord de l'Allemagne.,Hamburg liegt im Norden von Deutschland.,
,Lucerne est située au centre de la Suisse.,Luzern liegt in der Mitte von der Schweiz.,
,les vacances,die Ferien,
,les vacances,der Urlaub,
,le lac,der See,
,les lacs,die Seen,
,la plage,der Strand,
,les plages,die Strände,
,cher/chère,teuer,
,bon marché,billig,
,la carte postale,die Postkarte,
,les cartes postales,die Postkarten,
,le SMS,die SMS,
,l'e-mail,die Email,
,les e-mails,die Emails,
,où,wohin,
,Où allons-nous pendant les vacances ?,Wohin fahren wir in den Osterferien ?,
,Nous allons...,Wir fahren...,
,en Espagne/à Hamburg,nach Spanien/Hamburg,
,en Turquie/Suisse,in die Türkei/Schweiz,
,au bord de la mer,ans Meer,
,au bord de la mer baltique,an die Ostsee,
,au bord du lac,an den See,
,dans les Alpes/à la montagne,in die Alpen/Berge,
,en train,mit dem Zug,
,en voiture,mit dem Auto,
,en bateau,mit dem Schiff,
,le port,der Hafen,
,les ports,die Häfen,
,Il y a beaucoup de bateaux au port.,Im Hafen sind viele Schiffe.,
,Combien coûte la chambre pour une nuit ?,Wie viel kostet das Zimmer für eine Nacht ?,
,l'auberge de jeunesse,das Hostel,
,les auberges de jeunesse,die Hostels,
,l'auberge de jeunesse,die Jugendherberge,
,les auberges de jeunesse,die Jugendherbergen,
,réserver,reservieren,
,il réserve,er reserviert,
,Elle réserve une chambre à l'auberge de jeunesse.,Sie reserviert ein Zimmer im Hostel.,
,passer la nuit,übernachten,
,il passe la nuit,er übernachtet,
,Nous passons la nuit dans l'auberge de jeunesse.,Wir übernachten in der Jugendherberge/im Hostel.,
,la nuitée,die Übernachtung,
,les nuitées,die Übernachtungen,
,le château,das Schloss,
,les châteaux,die Schlösser,
,arriver,ankommen,
,il arrive,er kommt an,
,partir (train/bus),abfahren,
,il part,er fährt ab,
,Le bus part à 8h.,Der Bus fährt um 8 Uhr ab.,
,"voler, aller en avion",fliegen,
,"il vole, il prend l'avion",er fliegt,
,Il part en Turquie (en avion).,Er fliegt in die Türkei.,
,l'année dernière,letztes Jahr,
,Nous y sommes déjà allé l'année dernière.,Da waren wir schon letztes Jahr.,
,la destination,das Reiseziel,
,les destinations,die Reiseziele,
,le château fort,die Burg,
,les châteaux forts,die Burgen,
,le groupe de jeunes,die Jugendgruppe,
,les groupes de jeunes,die Jugendgruppen,
,la carte de membre,die Mitgliedskarte,
,les cartes de membres,die Mitgliedskarten,
,la proposition,der Vorschlag,
,les propositions,die Vorschläge,
,discuter,diskutieren,
,il discute,er diskutiert,
,partir (en voyage),wegfahren,
,il part (en voyage),er fährt weg,
,Nous partons en août.,Wir fahren im August weg.,
,partout,überall,
,absolument,unbedingt,
,là-bas,dort,
,la salade,der Salat,
,les salades,die Salate,
,le hamburger,der Hamburger,
,la soupe,die Suppe,
,la pizza,die Pizza,
,les frites,Pommes (frites),
,la glace,das Eis,
,la glace vanille avec de la sauce au chocolat,das Vanilleeis mit Schokosauce,
,l'eau minérale,das Mineralwasser,
,le jus de pomme,der Apfelsaft,
,le coca,die Cola,
,"C'est combien, s'il vous plaît ?",Was kostet das bitte ?,
,l'assiette,der Teller,
,les assiettes,die Teller,
,une assiette de soupe,ein Teller Suppe,
,la bouteille,die Flasche,
,les bouteilles,die Flaschen,
,une bouteille d'eau,eine Flasche Wasser,
,le verre,das Glas,
,les verres,die Gläser,
,un verre d'eau minérale,ein Glas Mineralwasser,
,la tasse,die Tasse,
,les tasses,die Tassen,
,une tasse de café,eine Tasse Kaffee,
,la canette,die Dose,
,les canettes,die Dosen,
,une canette de coca,eine Dose Cola,
,le morceau,das Stück,
,les morceaux,die Stücke,
,un morceau de gâteau,ein Stück Kuchen,
,la portion,die Portion,
,les portions,die Portionen,
,une portion de frites,eine Portion Pommes,
,le sandwich au fromage,das Käsebrötchen,
,j'aimerais,Ich möchte,
,j'aimerais bien,Ich hätte gern,
,rien,nichts,
,Je ne veux rien manger.,Ich möchte nichts essen.,
,avoir faim,Hunger haben,
,Il n'a pas faim.,Er hat keinen Hunger.,
,avoir soif,Durst haben,
,Il n'a pas soif.,Er hat keine Durst.,
,C'est délicieux.,Das schmeckt lecker.,
,C'est vraiment bon.,Das ist echt gut.,
,Je n'aime pas ça.,Das schmeckt mir nicht.,
,je prends,Ich nehme,
,le tout,alles zusammen,
,le sandwich au poisson,das Fischbrötchen,
,la saucisse au curry,die Currywurst,
,cher...,Lieber...,
,chère...,Liebe...,
,Ici à... c'est...,hier in... ist es...,
,Il y a,Es gibt,
,On peut manger...,Das Essen ist...,
,Il fait beau/mauvais temps.,Das Wetter ist gut/schlecht.,
,Ici on peut...,Hier kann man...,
,Je suis allé nager.,Ich war schwimmen.,
,Bien le bonjour de...,Viele Grüsse,
,Salut,Tschüs,
,à bientôt,Bis bald,
,J'ai une idée.,Ich habe eine Idee.,
,Je (ne) trouve ça (pas) bien.,Das finde ich (nicht) gut.,
,J'aimerais mieux...,Ich möchte lieber...,
,Pas envie !,Keine Lust !,
,Pas le temps !,Keine Zeit !,
,Pas d'argent !,Kein Geld !,
,Mais c'est ennuyeux.,Das ist doch langweilig.,
,"super, génial",klasse,
,cool,cool,
,"amusant, marrant",lustig,
,C'est beaucoup plus amusant.,Das ist viel lustiger.,
,bien s'amuser,Spass haben,
,il s'amuse bien,er hat Spass,
,C'est une bonne idée.,Das ist eine gute Idee.,
,Ce n'est pas une bonne idée.,Das ist keine gute Idee.,
,D'accord !,Einverstanden !,
,C'est dingue !,Wahnsinn !,
,"fantastique, formidable",fantastisch,
,sensationnel,sensationell,
,"enfin..., et bien...",na ja...,
,bon d'accord,also gut,
,Quell bêtise ! N'importe quoi !,Quatsch !,
K6,le musée,das Museum,
,les musées,die Museen,
,le zoo,der Zoo,
,les zoos,die Zoos,
,le centre,das Zentrum,
,les centres,die Zentren,
,"le billet, le titre de transport",die Fahrkarte,
,les billets de transport,die Fahrkarten,
,acheter,kaufen,
,il achète,er kauft,
,il a acheté,er hat gekauft,
,manger,essen,
,il mange,er isst,
,il a mangé,er hat gegessen,
,visiter,besuchen,
,il visite,er besucht,
,il a visité,er hat besucht,
,venir avec,mitkommen,
,il vient avec,er kommt mit,
,il est venu avec,er ist mitgekommen,
,Viens-tu avec moi ?,Kommst du mit ?,
,l'église,die Kirche,
,les églises,die Kirchen,
,la tour,der Turm,
,les tours,die Türme,
,le pont,die Brücke,
,les ponts,die Brücken,
,Nous traversons le pont.,Wir gehen über die Brücke.,
,le stade,das Stadion,
,les stades,die Stadien,
,le stade de foot,das Fussballstadion,
,les stades de foot,die Fussballstadien,
,la police,die Polizei,
,monter,steigen,
,il monte,er steigt,
,il est monté,er ist gestiegen,
,Nous sommes montés sur la tour.,Wir sind auf den Turm gestiegen.,
,visiter (tourisme),besichtigen,
,il visite (tourisme),er besichtigt,
,il a visité (tourisme),er hat besichtigt,
,Nous avons visité la ville.,Wir haben die Stadt besichtigt.,
,le mètre,der Meter,
,les mètres,die Meter,
,la vieille ville,die Altstadt,
,les vieilles villes,die Altstädte,
,le musée d'art,das Kunstmuseum,
,les musées d'art,die Kunstmuseen,
,l'attraction touristique,die Sehenswürdigkeit,
,les attractions touristiques,die Sehenswürdigkeiten,
,plus que,mehr als,
,Le pont fait plus de 200 mètres.,Die Brücke ist mehr als 200 meter lang.,
,antique,antik,
,romain,römisch,
,le voyage,die Reise,
,les voyages,die Reisen,
,l'argent de poche,das Taschengeld,
,le souvenir,das Souvenir,
,les souvenirs,die Souvenirs,
,l'internet,das Internet,
,le wifi,das WLAN,
,gratuit,gratis,
,"A l'auberge, l'accès à internet est gratuit.",Im Hostel ist das Internet gratis.,
,le tram,das Tram,
,fatigué,müde,
,Tous sont fatigués et dorment.,Alle sind müde und schlafen.,
,le départ,die Abfahrt,
,les départs,die Abfahrten,
,le point de rencontre,der Treffpunkt,
,les points de rencontre,die Treffpunkte,
,l'arrivée,die Ankunft,
,les arrivées,die Ankünfte,
,le voyage de retour,die Rückreise,
,le tramway,die Strassenbahn,
,les tramways,die Strassenbahnen,
,le silence,die Ruhe,
,"A partir de 22 heures, le silence est de rigueur.",Ab 22 Uhr ist Ruhe.,
,Il n'a plus d'argent.,Er hat kein Geld mehr.,
,être fauché,pleite sein,
,il est fauché,er ist pleite,
,prêter,leihen,
,il prête,er leiht,
,il a prêté,er hat geliehen,
,emprunter,ausleihen,
,On peut emprunter des vélos.,Man kann Fahrräder ausleihen.,
,les bagages,das Gepäck,
,déposer,abgeben,
,il dépose,er gibt ab,
,il a déposé,er hat abgegeben,
,la salle à manger,der Speisesaal,
,les salles à manger,die Speisesäle,
,le cadeau,das Geschenk,
,les cadeaux,die Geschenke,
,cuisiner,kochen,
,il cuisine,er kocht,
,il a cuisiné,er hat gekocht,
,er probiert,probieren,
,il essaie,er probiert,
,il a essayé,er hat probiert,
,montrer,zeigen,
,il montre,er zeigt,
,il a montré,er hat gezeigt,
,déballer,auspacken,
,il déballe,er packt aus,
,il a déballé,er hat ausgepackt,
,Viktor a ouvert les cadeaux.,Viktor hat die Geschenke ausgepackt.,
,parler,reden,
,il parle,er redet,
,il a parlé,er hat geredet,
,écouter de la musique,Musik hören,
,il écoute,er hört,
,il a écouté,er hat gehört,
,danser,tanzen,
,il danse,er tanzt,
,il a dansé,er hat getanzt,
,ranger,aufräumen,
,il range,er räumt auf,
,il a rangé,er hat aufgeräumt,
,Jens et Martina ont rangé la cuisine.,Jens und Martina haben die Küche aufgeräumt.,
,embrasser,küssen,
,il embrasse,er küsst,
,il a embrassé,er hat geküsst,
,Qui a embrassé Jens ?,Wer hat Jens geküsst ?,
,être juste,stimmen,
,C'est vrai.,Das stimmt.,
,Ce n'est pas vrai.,Das stimmt nicht.,
,être fâché,sauer sein,
,Alexandra est fâchée.,Alexandra ist sauer.,
,la quantité,die Menge,
,Nous avons fait pas mal de choses.,Wir haben eine ganze Menge gemacht.,
