,commenter,kommentieren
,il commente,er kommentiert
,il a commenté,er hat kommentiert
,Je ne commente que rarement des publications.,Ich kommentiere nur selten Posts. 
,le réseau social,das soziale Netzwerk
,les réseaux sociaux,die soziale Netzwerke
,Elle passe beaucoup de temps sur les réseaux sociaux.,Sie verbringt viel Zeit in sozialen Netzwerken.
,"retravailler, modifier",bearbeiten
,il retravaille,er bearbeitet
,il a retravaillé,er hat bearbeitet
,Elle modifie des photos pour qu’elles soient plus belles.,"Sie bearbeitet Fotos, damit sie schöner sind."
,regarder des films en streaming,Filme streamen
,il regarde des films en streaming,er streamt Filme
,il a regardé des films en streaming,er hat Filme gestreamt
,"la star, la célébrité",der Promi
,"les stars, les célébrités",die Promis
,suivre ,folgen +D
,il suit,er folgt
,il a suivi,er hat gefolgt
,Elle suit son chanteur préféré sur internet.,Si folgt ihrem Lieblingssänger im Internet.
,mettre en ligne,ins Netz stellen
,il met en ligne,er stellt ins Netz
,il a mis en ligne,er hat ins Netz gestellt
,"le réseau, la toile",das Netz
,partager,teilen
,il partage,er teilt
,il a partagé,er hat geteilt
,Partagez des photos seulement avec des amis et en famille.,Teilt Fotos nur mit guten Freunden und in der Familie.
,le risque,das Risiko
,les risques,die Risiken
,la chance,die Chance
,les chances,die Chancen 
,envoyer un mail,mailen
,il envoie un mail,er mailt
,il a envoyé un mail,er hat gemailt
,Je t’envoie la photo par mail.,Ich maile dir das Foto.
,effacer,löschen
,il efface,er löscht
,il a effacé,er hat gelöscht
,protéger,schützen
,il protège,er schützt
,il a protégé,er hat geschützt
,les données,die Daten
,"On doit protéger ses données, elles doivent être en sécurité.","Man muss seine Daten schützen, sie müssen sicher sein."
,bloquer,blockieren
,il bloque,er blockiert
,il a bloqué,er hat blockiert
,"Il envoie tellement de messages, c’est énervant. Maintenant, je le bloque.","Er schickt so viele Nachrichten, das nervt. Ich blockiere ihn jetzt."
,le profil,das Profil
,les profils,die Profile
,utiliser,benutzen
,il utilise,er benutzt
,il a utilisé,er hat benutzt
,"changer, modifier",ändern
,il change,er ändert
,il a changé,er hat geändert
,Il a changé son statut.,Er hat seinen Status geändert.
,"la poubelle, la corbeille à papier",der Papierkorb
,"les poubelles, les corbeilles à papier",die Papierkörbe
,fonctionner,funktionnieren
,ça fonctionne,es funktioniert
,ça a fonctionné,es hat funktioniert
,Mon ordinateur ne fonctionne malheureusement plus.,Mein Computer funktioniert leider nicht mehr.
,allumer,anmachen
,il allume,er macht an
,il a allumé,er hat angemacht
,Où peut-on allumer l’ordinateur ?,Wo kann man den Computer anmachen ?
,l’écran,der Bildschirm
,les écrans,die Bildschirme
,le clavier,die Tastatur
,les claviers,die Tastaturen
,la souris,die Maus
,les souris,die Mäuse
,le virus,der Virus
,les virus,die Viren
,Que dois-je faire ? Mon ordinateur a un virus.,Was soll ich machen ? Mein Computer hat einen Virus.
,"planter, ne plus fonctionner, être h.s.",abstürzen
,il plante,er stürzt ab
,il a planté,er ist abgestürzt
,"L’ordinateur a planté, plus rien ne fonctionne.","Der Computer ist abgestürzt, nichts geht mehr."
,éteindre l’ordinateur,den Computer ausschalten
,il éteint,er schaltet aus
,il a éteint,er hat ausgeschaltet
,imprimer,drucken
,il imprime,er druckt
,il a imprimé,er hat gedruckt
,Mon imprimante n’imprime plus.,Mein Drucker druckt nicht mehr.
,le fichier,die Datei
,les fichiers,die Dateien
,copier des fichiers,Dateien kopieren
,As-tu copié tous les fichiers ?,Hast du alle Dateien kopiert ?
,le mot de passe,das Passwort
,les mots de passe,die Passwörter
,"la réception, le réseau",der Empfang
,Je n’ai pas de réseau ici.,Ich habe hier keinen Empfang.
,la batterie,der Akku
,les batteries,die Akkus
,"Mince, ma batterie est à plat !","Mist, mein Akku ist leer!"
,s’éteindre,ausgehen
,il s’éteint,er geht aus
,il s'est éteint,er ist ausgegangen
,Le natel s’est soudain éteint.,Das Handy ist plötzlich ausgegangen.
,enregistrer,aufnehmen
,il enregistre,er nimmt auf
,il a eneregistré,er hat aufgenommen
,Elle enregistre un podcast.,Sie nimmt einen Podcast auf.
,vider,leeren
,il vide,er leert
,il a vidé,er hat geleert
,N’oublie pas de vider la poubelle.,"Vergiss nicht, den Papierkorb zu leeren."
,l’accès internet,der Internetzugang
,les accès internet,die Internetzugänge
,"Ici, nous n’avons pas d’accès internet.",Hier haben wir keinen Internetzugang.
K3,l’environnement,die Umwelt
,la pollution de l’environnement,die Umwletverschmutzung
,le changement climatique,der Klimawandel
,la cause,die Ursache
,les causes,die Ursachen
,Quelles sont les causes ?,Was sind die Ursachen?
,l’électricité,der Strom
,l’énergie,die Energie
,les énergies,die Energien
,"consommer, utiliser",verbrauchen
,il consomme,er verbraucht
,il a consommé,er hat verbraucht
,Nous consommons trop d’électricité et d’énergie.,Wir verbrauchen zu viel Strom und Energie.
,le gaz,das Gas
,les gaz,die Gase
,les gaz d’échappement,dia Abgase
,les déchets,der Müll
,produire,produzieren
,il produit,er produziert
,il a produit,er hat produziert
,Nous produisons trop de déchets.,Wir produzieren zu viel Müll.
,"avant, auparavant",früher
,plus tard,später
,Autrefois il faisait plus froid en hiver.,Früher war es im Winter kälter.
,plus,mehr
,moins,weniger
,Autrefois il y avait plus de neige.,Früher gab es mehr Schnee.
,la terre,die Erde 
,se réchauffer,sich erwärmen
,elle se réchauffe,sie erwärmt sich
,elle s’est réchauffée,sie hat sich erwärmt
,La terre se réchauffe.,Die Erde erwärmt sich.
,l'air,die Luft
,L’air devient plus pollué.,Die Luft wird schlechter.
,changer,sich verändern
,il change,er verändert sich
,il a changé,er hat sich verändert
,Les saisons changent.,Die Jahreszeiten verändern sich.
,"augmenter, être en augmentation",zunehmen
,il augmente,er nimmt zu
,il a augmenté,er hat zugenommen
,"l’intempérie, la tempête",das Unwetter
,"les intempéries, les tempêtes",Die Unwetter
,Les intempéries sont en augmentation partout dans le monde.,Die Unwetter nehmen weltweit zu.
,être responsable/coupable de,schuld sein an +D
,Les humains sont responsables du changement climatique.,Der Mensch ist schuld am Klimawandel.
,le réchauffement,die Erwärmung
,menacer,bedrohen
,il menace,er bedroht
,il a menacé,er hat bedroht
,l’ours polaire,der Eisbär
,les ours polaires,die Eisbären
,l’Arctique ,die Arktis
,fondre,schmelzen
,il fond,er schmilzt
,il fondait,er schmolz
,il a fondu,er ist geschmolzen
,le glacier,der Gletscher
,les glaciers,die Gletscher
,Les glaciers fondent.,Die Gletscher schmelzen.
,"grimper, monter",steigen
,il monte,er steigt
,il montait,er stieg
,il a monté,er ist gestiegen
,Le niveau de la mer continue de monter.,Der Meeresspiegel steigt weiter.
,Que fais-tu pour l’environnement ?,Was machst du für die Umwelt?
,l’action,die Aktion
,les actions,die Aktionen
,économiser l’énergie,Energie sparen
,fermer les fenêtres et portes,Fenster und Türen schliessen
,rouler à vélo,mit dem Fahrrad fahren
,faire ses courses au marché / chez le boulanger,auf dem Markt / beim Bäcker kaufen
,la protection de l’environnement,der Umweltschutz
,écologique,umweltfreundlich
,l’énergie renouvelable,die erneuerbare Energie
,les énergies renouvelables,die erneuerbare Energien
,réduire,reduzieren
,il réduit,er reduziert
,il a réduit ,er hat reduziert
,"Avec les énergies renouvelables, on peut réduire les émission de CO2.",Mit erneuerbaren Energien kann man die CO2-Emissionen reduzieren.
,ouvrir,aufmachen
,il ouvre,er macht auf
,il a ouvet,er hat aufgemacht
,fermer,zumachen
,il ferme,er macht zu
,il a fermé,er hat zugemacht
,Elle ouvre la fenêtre.,Sie macht das Fenster auf.
,éteindre ,ausmachen
,il éteint,er macht aus
,il a éteint,er hat ausgemacht
,allumer,anmachen
,il allume,er macht an
,il a allumé,er hat angemacht
,Il éteint la lumière.,Er macht das Licht aus.
,la lumière,das Licht
,les lumières,die Lichter
,aller à pied,zu Fuss gehen
,il va à pied,er geht zu Fuss
,il allait à pied,er ging zu Fuss
,il est allé à pied,er ist zu Fuss gegangen
,"Il va à pied au travail, elle va en vélo.","Er geht zu Fuss in die Arbeit, sie fährt mit dem Fahrrad."
,le produit,das Produkt
,les produits,die Produkte
,Les produits régionaux sont plus écologiques.,Produkte aus der Region sind umweltfreundlicher.
,participer à,mitmachen bei +D
,il participe à,er macht mit
,il a participé à,er hat mitgemacht
,Je participe volontiers à cette action.,Ich mache gerne bei dieser Aktion mit.
,"démarrer, commencer",starten
,il démarre,er startet
,il a démarré,er hat gestartet
,Ils ont démarré une campagne pour l’environnement.,Sie haben eine Kampagne für die Umwelt gestartet.
,la loi,das Gesetz
,les lois,die Gesetze
,Nous avons besoin de lois écologiques.,Wir brauchen umweltfreundliche Gesetze.
,éviter,vermeiden
,il évite,er vermeidet
,il évitait,er vermied
,il a évité,er hat vermieden
,C'est important d’éviter les déchets.,"Es ist wichtig, Müll zu vermeiden."
,aérer,lüften
,il aère,er lüftet
,il a aéré,er hat gelüftet
,la région,die Region
,les régions,die Regionen
,"écologique, conscient de l’environnement ",umweltbewusst
,J’essaie de vivre en faisant attention à l’environnement.,"Ich versuche, umweltbewusst zu leben."
,le plastique,das Plastik
,l’emballage,die Verpackung
,les emballages,die Verpackungen
,Le mieux est d’acheter des produits sans emballage.,Am besten kauft man Produkte ohne Verpackung.
,"le cornet, le sachet, le sac",die Tüte
,"les cornets, les sachets, les sacs",die Tüten
,Les sacs en plastiques sont un problème pour l’environnement.,Tüten aus Plastik sind ein Problem für die Umwelt.
,jeter,wegwerfen
,il jette,er wirft weg
,il jetait,er warf weg
,il a jeté,er hat weggeworfen
,Ne le le jette pas ! J’ai encore besoin du cahier.,Nicht wegwerfen! Ich brauche das Heft noch.
,la poubelle,der Mülleimer
,les poubelles,die Mülleimer
,"séparer, trier",trennen
,il trie,er trennt
,il a trié,er hat getrennt
,Nous trions nos déchets et avons trois poubelles.,Wir trennen unseren Müll und haben drei Mülleimer.
,"rassembler, réunir, collectionner, recueillir",sammeln
,il rassemble,er sammelt
,il a rassemblé,er hat gesammelt
,recycler,recyclen
,il recycle,er recycelt
,il a recyclé,er hat recycle
,les déchets résiduels,der Restmüll
,"le verre, le gobelet",der Becher
,"les verres, les gobelets",die Becher
,"Dans l’automate, les gobelets à café sont en plastique.",Im Automat sind Kaffeebecher aus Plastik.
,"analyser, enquêter",untersuchen
,il analyse,er untersucht
,il a analysé,er hat untersucht
,Les élèves ont récolté et analysé des déchets.,Die Schüler haben den Müll gesammelt und untersucht.
,la lampe,die Lampe
,les lampes,die Lampen
,la canette,die Getränkedose
,les canettes,die Getränkedosen 
,les bottes,die Stiefel
,le verre,das Glas
,les verres,die Gläser
,la fleur,die Blume
,les fleurs,die Blumen
,la bouteille,die Flasche
,les bouteilles,die Flaschen
,"bricoler, fabriquer",basteln
,il bricole,er bastelt
,il a bricolé,er hat gebastelt
,construire,bauen
,il construit,er baut
,il a construit,er hat gebaut
,la bague,der Ring
,les bagues,die Ringe 
,de,aus +D
,La lampe est faite d’un verre.,Die Lampe ist aus einem Glas.
,le couvercle,der Deckel
,les couvercles,die Deckel
,Je trouve important que…,"Ich finde es wichtig, dass…"
,Je trouve juste que…,"Ich finde es richtig, dass"
,"C’est bien pour l’environnement, si…","Es ist gut für die Umwelt, wenn…"
,"C’est mieux pour l’environnement, si…","Es ist besser für die Umwelt, wenn…"
,"Je suis pour, que…","Ich bin dafür, dass…"
,"Je ne suis absolument pas pour, que…","Ich bin auf keinen Fall dafür, dass…"
,"L’action est judicieuse, parce que…","Die Aktion ist sinnvoll, weil…"
,"L’action n’est pas si judicieuse, parce que…","Die Aktion ist nicht so sinnvoll, weil…"
,"Cela n’apporte rien, parce que…","Das bringt/hilft nichts, weil…"
K4,le commentaire,der Kommentar
,les commentaires,die Kommentare
,peut-être,vielleicht
,Je crois/pense que…,"Ich glaube/denke, dass…"
,le préjugé,das Vorurteil
,les préjugés,die Vorurteile
,l’expérience,die Erfahrung
,les expériences,die Erfahrungen
,J’ai déjà fait l’expérience que…,"Ich habe schon die Erfahrung gemacht, dass…"
,"subjectif, subjectivement",subjektiv
,"objectif, objectivement",objektiv
,"l’opinion, l’avis",die Meinung
,"les opinions, les avis",die Meinungen
,supposer,vermuten
,il suppose,er vermutet
,il a supposé,er hat vermutet
,Je suppose que…,"Ich vermute, dass…"
,Que veux-tu dire exactement ?,Wie meinst du das genau?
,Penses-tu vraiment que… ?,"Denkst du wirklich, dass…?"
,Es-tu sûr que… ?,"Bist du sicher, dass…?"
,Est-ce que j’ai bien compris que… ?,"Habe ich das richtig verstanden, dass… ?"
,"certainement, assurément",bestimmt
,L’homme est certainement plus vieux que la femme.,Der Mann ist bestimmt älter als die Frau.
,probablement,wahrscheinlich
,Beaucoup pensent probablement que…,"Wahrscheinlich denken viele, dass…"
,la supposition,die Vermutung
,les suppositions,die Vermutungen
,le projet,das Projekt
,les projets,die Projekte
,devenir actif,aktiv werden
,il devient actif,er wird aktiv
,il devint actif,er wurde aktiv
,il est devenu actif,er ist aktiv geworden
,l’action,die Aktion
,les actions,die Aktionen
,le réseau,das Netzwerk
,les réseaux,die Netzwerke
,le conflit,der Konflikt
,les conflits,die Konflikte
,la discrimination,die Diskriminierung
,les discriminations,die Diskriminierungen
,le racisme,der Rassismus
,"le harcèlement, le mobbing",das Mobbing
,harceler,mobben
,il harcèle,er mobbt
,il a harcelé,er hat gemobbt
,Elle est harcelée à l’école.,Sie wird in der Schule gemobbt.
,maltraiter,schlecht behandeln
,il maltraite,er behandelt schlecht
,il a maltraité,er hat schlecht behandelt
,Elle le maltraite constamment. Ce n’est pas juste.,Sie behandelt ihn immer schlecht. Das ist unfair.
,la solution,die Lösung
,les solutions,die Lösungen
,le compromis,der Kompromiss
,les compromis,die Kompromisse
,collaborer,zusammenarbeiten mit +D
,il collabore avec…,er arbeitet mit… zusammen
,il a collaboré avec…,er hat mit… zusammengearbeitet
,"soutenir, aider",unterstützen
,il soutient,er unterstützt
,il a soutenu,er hat unterstützt
,"concilier, se mettre d’accord",vereinbaren
,il concilie,er vereinbart
,il a concilié,er hat vereinbart
,"Dans la classe, nous avons convenu de règles.",Wir haben in der Klasse Regeln vereinbart.
,se moquer,auslachen
,il se moque,er lacht aus
,il s'est moqué,er hat ausgelacht
,le parrain ,der Pate
,les parrains,die Paten
,la marraine,die Patin
,les marraines,die Patinnen
,Comment trouves-tu la chanson ?,Wie findest du das Lied?
,"calme, tranquille",ruhig
,triste,traurig
,"drôle, amusant",lustig
,ennuyeux,langweilig
,intéressant,interessant
,"à voix basse, doucement",leise 
,"à voix haute, fort, bruyamment",laut
,moderne,modern
,démodé,altmodisch
,écouter,zuhören
,il écoute,er hört zu
,il a écouté,er hat zugehört
,comprendre,verstehen
,il comprends,er versteht
,il comprenait,er verstand
,il a compris,er hat verstanden
,agressif,aggressiv
,dynamique,dynamisch
,émotionnel,emotional
,harmonieux,harmonisch
,Il est différent.,Er ist anders.
,"différent, différemment",anders
,"pareil, identique",gleich
,Qu’avez-vous en commun ?,Was habt ihr gemeinsam?
,la différence,der Unterschied
,les différences ,die Unterschiede
,le point commun,die Gemeinsamkeit
,les points communs,die Gemeinsamkeiten
,faire partie de,gehören zu +D
,il fait partie de ,er gehört zu
,il a fait partie de…,er hat … zugehört
,Elle fait partie du groupe.,Sie gehört zu uns.
,aller avec,passen zu +D
,il va avec,er passt zu
,il est allé avec…,er hat zu… gepasst
,Il ne va pas avec notre bande.,Er passt nicht zu unserer Clique.
,l’intérêt,das Interesse
,les intérêts,die Interessen
,Simon et Paul ont les mêmes intérêts.,Simon und Paul haben dieselben Interessen.
,lié d’amitié,befreundet
,Simon et Paul sont amis.,Simon und Paul sind befreundet.
,"se casser, se barrer, se tirer",abhauen
,il se casse,er haut ab
,il s'est cassé,er ist abgehauen
,"parler, s’entretenir",sich unterhalten
,il s’entretient,er unterhält sich
,il s'est entretenu,er hat sich unterhaltet
,Elle discute avec son amie.,Sie unterhält sich mit ihrer Freundin.
,réagir,reagieren
,il réagit,er reagiert
,il a réagit,er hat reagiert
,Elle s'est mise en colère contre lui. ,Sie hat wütend auf ihn reagiert.
,"le cheveu, la chevelure",das Haar
,les cheveux,die Haare
,les fringues ,die Klamotten
,Ca a l’air cool.,Das sieht cool aus.
,Ca a l’air pas bien.,Das sieht nicht gut aus. 
,Le pantalon me plaît.,Mir gefällt die Hose.
,Les lunettes ne me plaisent pas.,Mir gefallen die Brille nicht.
,"Je trouve bien, quand/si…","Ich finde es gut, wenn…"
,"Je ne trouve pas bien, quand/si…","Ich finde es nicht gut, wenn…"
,"l’aspect, l’apparence ",das Aussehen 
,la couleur de cheveux,die Haarfarbe
,Quelle est sa couleur de cheveux?,Welche Haarfarbe hat er?
,la couleur de peau,die Hautfarbe
,la couleur des yeux,die Augenfarbe
,De quelle couleur sont tes yeux ?,Welche Augenfarbe hast du?
,le tatouage,das Tattoo
,les tatouages,die Tattoos
,le piercing,das Piercing
,les piercings,die Piercings
,l’allergie ,die Allergie
,les allergies,die Allergien
,laid,hässlich
,beau,schön
,être opposé/contre,dagegen sein
,il est contre,er ist dagegen
,il était contre,er war dagegen
,il a été contre,er ist dagegen gewesen
,"J’y suis totalement opposé, je ne le veux pas.","Ich bin total dagegen, ich will das nicht!"
,décider,entscheiden
,il décide,er entscheidet
,il décidait,er entschied
,il a décidé,er hat entschieden
,être en ordre,in Ordnung sein
,"Pour moi, c’est en ordre, pas de problème !","Das ist für mich in Ordnung,  kein Problem!"
,Je propose que…,"Ich schlage vor, dass…"
,A mon avis…,Meiner Meinung nach…
,"percer, trouer",stechen
,il perce,er sticht
,il perçait,er stach
,il a percé,er hat gestochen
,la lèvre,die Lippe
,les lèvres,die Lippen
,Il se fait faire un piercing à la lèvre.,Er lässt sich ein Piercing in die Lippe stechen.
,"causer, provoquer",verursachen
,il provoque,er verursacht
,il a provoqué,er hat versacht
