Unité,Français,Allemand
,il grille,er grillt
,il a grillé,er hat gegrillt
,l'écologie,die Ökologie
,le tri des déchets,die Mülltrennung
,la discipline ,die Disziplin
,au milieu de,in der Mitte von 
,Sarnen se trouve au milieu de la Suisse.,Sarnen liegt in der Mitte von der Schweiz.
,l'appartement,die Wohnung
,les appartements,die Wohnungen
,le village ,das Dorf
,les villages ,die Dörfer
,la famille d'accueil,die Gastfamilie
,les familles d'accueil,die Gastfamilien
,Elle habite chez une famille d'accueil.,Sie wohnt bei einer Gastfamilie.
,le partenaire d'échange ,der Austauschpartner
,la partenaire d'échange ,die Austauschpartnerin
,l'arrivée ,die Ankunft
,les arrivées,die Ankünfte
,"À l'arrivée, elle a attendu à la gare.",Bei der Ankunft hat sie am Bahnhof gewartet.
,la salutation,die Begrüssung
,les salutations ,die Begrüssungen
,saluer,grüssen
,il salue,er grüsst
,il a salué,er hat gegrüsst
,Les gens se saluent dans la rue.,Die Leute grüssen auf der Strasse.
,aller chercher,abholen
,il va chercher,er holt ... ab
,il est allé chercher,er hat abgeholt
,Il vient chercher Paul à la gare.,Er holt Paul am Bahnhof ab.
,faire (la) connaissance,kennenlernen
,il fait la connaissance,er lernt ... kennen
,il a fait la connaissance,er hat kennengelernt
,Paul a fait la connaissance de Lukas lors de l'échange.,Paul hat Lukas beim Austausch kennengelernt.
,envoyer,schicken
,il envoie,er schickt
,il a envoyé,er hat geschickt
,Ma tante m'a envoyé un cadeau.,Meine Tante hat mir ein Geschenk geschickt. 
,la langue étrangère,die Fremdsprache
,les langues étrangères,die Fremdsprachen
,Ina parle trois langues étrangères.,Ina spricht drei Fremdsprachen.
,le touriste,der Tourist
,les touristes,die Touristen
,la touriste,die Touristin
,les touristes (femmes),die Touristinnen
,le début,der Anfang
,les débuts,die Anfänge
,avoir peur,Angst haben
,"Au début, on avait peur.",Am Anfang hatten wir Angst.
,"l'étranger, l’étrangère ",der/die Fremde
,les étrangers,die Fremden
,partager,teilen
,il partage,er teilt
,il a partagé,er hat geteilt
,Mon frère et moi partageons une chambre.,Mein Bruder und ich teilen ein Zimmer.
,améliorer,verbessern
,il améliore,er verbessert
,il a amélioré,er hat verbessert
,Il aimerait améliorer son allemand. ,Er möchte sein Deutsch verbessern.
,l'expérience ,die Erfahrung
,les expériences,die Erfahrungen
,Un échange est parfois une bonne expérience.,Ein Austausch ist manchmal eine gute Erfahrung.
,le titre,der Titel
,les titres,die Titel
,Le livre a le titre « Happy (ohne) End ».,"Das Buch hat den Titel „Happy (ohne) End""."
,embrasser,küssen
,il embrasse,er küsst 
,il a embrassé,er hat geküsst
,quatre fois ,viermal
,l'histoire d'amour ,die Liebesgeschichte
,les histoires d'amour ,die Liebesgeschichten
,personne,niemand
,"quelques-uns, quelques",manche
,beaucoup (de),viele
,"tous, toutes",alle
,le cliché ,das Klischee
,les clichés,die Klischees
,parler l'allemand standard,Hochdeutsch sprechen
,prudent,vorsichtig
,Sois prudent !,Sei vorsichtig !
K2,C’est dangereux.,Das ist gefährlich.
,faire du snowboard,Snowboard fahren
,faire du ski,Ski fahren
,faire du vélo,Fahrrad/Velo fahren
,faire de la luge,Schlitten fahren
,faire du skateboard,Skateboard fahren
,jouer au basket,Basketball spielen
,jouer au volley,Volleyball spielen
,jouer au foot,Fussball spielen
,jouer au tennis,Tennis spielen
,jouer au hockey,Hockey spielen
,faire du jogging,joggen
,il fait du jogging,er joggt
,il a fait du jogging,er ist gejoggt
,courir,laufen
,il court,er läuft
,il a couru,er ist gelaufen
,faire de l'escalade ,klettern
,il fait de l’escalade,er klettert
,il a fait de l’escalade,er ist geklettert
,(jouer au) ping-pong,Tischtennis (spielen) 
,s'entrainer,trainieren
,il s’entraine,er trainiert
,il s’est entrainé,er hat trainiert
,Mon sport préféré est … ,Mein Lieblingssport ist ...
,faire de la voile,segeln
,il fait de la voile,er segelt
,il a fait de la voile,er ist gesegelt
,boxer,boxen
,(faire du) judo,Judo (machen)
,(jouer au) bowling ,Bowling (spielen)
,le monocycle,das Einrad
,les monocycles,die Einräder
,Faire du monocycle c'est cool.,Einrad fahren ist cool.
,"le ballet, la danse",das Ballett
,"les ballets, les danses",die Ballette
,Elle fait de la danse chaque lundi.,Sie macht jeden Montag Ballett.
,"tester, essayer ",ausprobieren
,"il teste, il essaie",er probiert ... aus
,"il a testé, il a essayé",er hat ausprobiert
,Elle teste beaucoup de sports.,Sie probiert viele Sportarten aus.
,le tournoi,das Turnier
,les tournois,die Turniere
,Ils ont gagné le tournoi de volley. ,Sie haben das Volleyballturnier gewonnen.
,le terrain de sport ,der Sportplatz
,les terrains de sport ,die Sportplätze
,dehors,draussen
,dedans,drinnen
,"En été, nous nous entrainons dehors, en hiver dedans.","Im Sommer trainieren wir draussen, im Winter drinnen."
,la salle (de sport) ,die Halle
,les salles (de sport) ,die Hallen
,Nous nous entraînons en salle. ,Wir trainieren in der Halle. 
,"le club, l'association",der Verein
,"les clubs, les associations",die Vereine
,Elle fait du tennis dans un club.,Sie spielt Tennis im Verein.
,la piste de ski,die Skipiste
,les pistes de ski,die Skipisten
,le sable,der Sand
,On joue au beach-volley sur la sable.,Beachvolleyball spielt man auf Sand. 
,"le ballon, la balle ",der Ball
,"les ballons, les balles ",die Bälle
,les chaussures de sport,die Turnschuhe
,le t-shirt ,das (T-)Shirt
,les t-shirts,die (T-)Shirts
,Pour... il faut/on a besoin de...,Zum ... braucht man (+ Akk.) ... 
,"Pour jouer au football, il faut un ballon.",Zum Fussballspielen braucht man einen Ball.
,la crosse / la raquette,der Schläger
,les crosses / les raquettes,die Schläger
,le filet,das Netz
,les filets,die Netze
,les chaussures de football,die Fussballschuhe
,le maillot,das Trikot
,les maillots,die Trikots
,le casque,der Helm
,les casques,die Helme
,le chronomètre,die Stoppuhr
,les chronomètres,die Stoppuhren
,"les habits, les vêtements ",die Kleidung
,seul-e ,allein(e)
,On peut faire de l'escalade seul.,Klettern kann man auch alleine.
,l'équipe,das Team
,les équipes,die Teams
,On joue au volley en équipe.,Volleyball spielt man im Team.
,le joueur,der Spieler
,les joueurs,die Spieler
,la joueuse,die Spielerin
,les joueuses,die Spielerinnen
,l'équipe,die Mannschaft
,les équipes,die Mannschaften
,"à deux, à trois … ","zu zweit, zu dritt ..."
,On joue au ping-pong à deux ou à quatre.,Tischtennis spielt man zu zweit oder zu viert. 
,jouer (avec),mitspielen
,il joue avec,er spielt ... mit
,il a joué avec,er hat mitgespielt
,"une fois, deux fois, trois fois … ",einmal / zweimal / dreimal /…
,une heure / deux heures …,eine Stunde / zwei Stunden / ...
,une à trois heures,ein bis drei Stunden
,par semaine/mois ,pro Woche / Monat
,chaque lundi / mardi / … ,jeden Montag / Dienstag / … 
,chaque semaine / chaque week-end ,jede Woche / jedes Wochenende
,régulièrement,regelmässig
,"Malheureusement, je ne fais pas régulièrement du sport — pas le temps ! ",Leider mache ich nicht regelmässig Sport — keine Zeit ! 
,Ça (ne) me plaît (pas). ,Das gefällt mir (nicht). 
,être en forme,fit sein
,il est en forme,er ist fit
,il a été en forme ,er ist fit gewesen
,facile,einfach
,difficile,schwierig
,dangereux,gefährlich
,pas dangereux,ungefährlich 
,rapide/vite,schnell
,lent/lentement,langsam
,bon marché,billig
,cher,teuer
,fort,stark
,faible,schwach
,Le sport vous rend fort ! ,Sport macht stark !
,important,wichtig
,pas important,unwichtig
,"Pour beaucoup de gens, le sport est important.",Für viele Leute ist Sport wichtig.
,sain,gesund
,malsain,ungesund
,Le sport c'est bon pour le santé (sain).,Sport ist gesund. 
,la santé,die Gesundheit
,"l’exercice, le mouvement, se bouger",die Bewegung
,Bouger me fait plaisir. ,Bewegung macht mir Spass.
,"se détendre, se changer les idées ",abschalten
,il se détend,er schaltet … ab
,il s'est détendu,er hat abgeschaltet
,fatigant,anstrengend
,Je trouve le jogging fatigant. ,Joggen finde ich anstrengend.
,gagner,gewinnen
,il gagne,er gewinnt
,il a gagné,er hat gewonnen
,L'équipe bleue a gagné le tournoi. ,Team Blau hat das Turnier gewonnen. 
,perdre,verlieren
,il perd,er verliert
,il a perdu,er hat verloren
,à la première / deuxième / troisième … / dernière place,auf dem ersten / zweiten / dritten /…/ letzten Platz
,haut,hoch
,long / loin,weit
,vieux,alt
,jeune,jung
,proche,nah
,bon / bien,gut
,mieux,besser
,(le) meilleur,am besten
,Il nage mieux que son ami.,Er schwimmt besser als sein Freund.
,Il est le meilleur nageur.,Er schwimmt am besten.
,beaucoup,viel
,plus,mehr
,le plus,am meisten
,C'est Carola qui fait le plus de sport. ,Carola macht am meisten Sport.
,volontiers,gern
,plutôt,lieber
,"aimer le plus …, préférer … ",am liebsten
,Je préfère jouer au tennis qu'au basket.,Ich spiele lieber Tennis als Basketball.
,aussi que,so ... wie 
,Pia est aussi grande que Tom. ,Pia ist so gross Wie Tom. 
,que,als
,Tina est plus grande que Tom.,Tina ist grösser als Tom.
,le record du monde,der Weltrekord
,les records du monde,die Weltrekorde
,la victoire,der Sieg
,les victoires,die Siege
,la course,das Rennen
K3,les courses,die Rennen
,Comment allez-vous ?,Wie geht es Ihnen?
,Je vais très bien.,Es geht mir sehr gut.
,Je vais super bien.,Es geht mir super.
,Je vais (assez) bien.,Es geht mir (ganz) gut.
,Je vais pas bien.,Es geht mir nicht gut.
,Je vais mal.,Es geht mir schlecht.
,Je suis heureux-euse,Ich bin glücklich. 
,Je suis fatigué-e,Ich bin müde.
,Je trouve... cool.,Ich finde ... cool.
,Je trouve... super.,Ich finde … toll.
,Je trouve... stupide.,Ich finde … blöd.
,intéressant,interessant
,ennuyeux,langweilig
,"drôle, amusant",lustig
,triste,traurig
,content,froh
,Je suis content si tu viens.,"Ich bin froh, wenn du kommst."
,fâché (acide) ,sauer
,Il est fâché quand il doit attendre.,"Er ist sauer, wenn er warten muss."
,furieux,wütend
,"énerver, agacer",nerven
,il énerve,er nervt
,il a énervé,er hat genervt 
,Ça m'énerve quand... ,"Es nervt mich, wenn ..."
,"strict(ement), sévère(ment) ",streng
,mignon (sucré),süss
,"anxieux-euse, avoir peur ",ängstlich
,Qu'est-ce qu'il y a ? Que se passe-t-il ? ,Was ist (denn) los? 
,Je suis de (très) bonne humeur.,Ich habe (sehr) gute Laune. 
,Je suis de (très) mauvaise humeur.,Ich habe (sehr) schlechte Laune. 
,"J'aime bien (Je n'aime pas), quand... ","Ich mag es (nicht), wenn …"
,Ça me dérange quand...,"Es stört mich, wenn ..."
,Ça (ne) me plaît (pas) quand... ,"Es gefällt mir (nicht), wenn …"
,romantique,romantisch
,pas romantique,unromantisch
,tranquille,ruhig
,"énervé, agacé",genervt
,Ma mère est agacée parce que je ne range pas.,"Meine Mutter ist genervt, weil ich nicht aufräume."
,être de bonne humeur,gut drauf sein
,déçu,enttäuscht
,"énervant, tuant",nervig
,"l'atmosphère, l'ambiance",die Stimmung
,les ambiances,die Stimmungen
,L'ambiance est mauvaise.,Die Stimmung ist schlecht.
,se réjouir,sich freuen
,il se réjouit,er freut sich
,il s'est réjouit,er hat sich gefreut
,"parler, causer",reden
,il parle,er redet
,il a parlé,er hat geredet
,aimer,lieben
,il aime,er liebt
,il a aimé,er hat geliebt
,rire,lachen
,il rit,er lacht
,il a rit,er hat gelacht
,"s'énerver, se fâcher",sich ärgern
,il se fâche,er ärgert sich
,il s’est fâché,er hat sich geärgert
,les ennuis ,der Ärger
,J'ai des ennuis avec ma mère.,Ich habe Ärger mit meiner Mutter. 
,pleurer,weinen
,il pleure,er weint
,il a pleuré,er hat geweint
,s'énerver,sich aufregen
,il s’énerve,er regt sich auf
,il s’est énervé,er hat sich aufgeregt
,la dispute,der Streit
,"Aujourd'hui, j'ai eu une dispute avec Ben.",Heute hatte ich Streit mit Ben.
,se disputer,sich streiten
,il se dispute,er streitet sich
,il s'est disputé,er hat sich gestritten 
,arrêter,aufhören
,il arrête,er hört … auf
,il a arrêté,er hat aufgehört
,Arrêtez de vous disputer !,Hört mit dem Streit auf !
,s'excuser,sich entschuldigen
,il s’excuse,er entschuldigt sich
,il s'est excusé,er hat sich entschuldigt
,d'accord,einverstanden
,Je ne suis pas d'accord !,Ich bin nicht einverstanden !
,copier,abschreiben
,il copie,er schreibt ... ab
,il a copié,er hat abgeschrieben
,la note,die Note
,les notes,die Noten
,recevoir,bekommen
,il reçoit,er bekommt
,il a reçu,er hat bekommen
,Elle a eu une mauvaise note.,Sie hat eine schlechte Note bekommen.
,"se sentir bien, à l'aise",sich wohlfühlen
,il se sent bien,er fühlt sich ... wohl
,il s'est bien senti,er hat sich wohlgefühlt
,"se rappeler, se souvenir ",sich erinnern
,il se rappelle,er erinnert sich
,il s'est rappelé,er hat sich erinnert
,la vérité ,die Wahrheit
,les vérités,die Wahrheiten
,les âneries / bêtises,der Quatsch
,contredire,widersprechen
,il contredit,er widerspricht
,il a contredit,er hat widersprochen
,ordonné,ordentlich
,désordonné,unordentlich
,à voix basse,leise
,"à voix haute, fort, bruyant",laut
,ranger,aufräumen
,il range,er räumt auf
,il a rangé,er hat aufgeräumt
,appeler (au téléphone),anrufen
,il appelle,er ruft an
,il a appelé,er hat angerufen
,Pardon,Entschuldigung
,Excuse-moi.,Entschuldige bitte.
,Pardon !,Sorry !
,Je suis (vraiment) désolé.,Tut mir (echt) leid.
,la tranquillité,die Ruhe
,Laisse-moi tranquille !,Lass mich in Ruhe !
,devoir (moral),sollen
,il doit (devrait),er soll
,Ma mère dit que je dois ranger.,"Meine Mutter sagt, ich soll aufräumen."
,peu,wenig
,beaucoup (de),viel
,oublier,vergessen
,il oublie,er vergisst
,il a oublié,hat vergessen
,Il a oublié le livre.,Er hat das Buch vergessen.
,"visiter, rendre visite",besuchen
,il visite,er besucht
,il a visité,hat besucht
,l'excuse,die Entschuldigung
,les excuses,die Entschuldigungen
K4,"la casquette, le bonnet",die Mütze
,"les casquettes, les bonnets",die Mützen
,la veste,die Jacke
,les vestes,die Jacken
,"le foulard, l'écharpe",der Schal
,"les foulards, les écharpes",die Schals
,le pullover,der Pullover
,les pullovers,die Pullover
,le sac,die Tasche
,les sacs,die Taschen
,les lunettes,die Brille
,mettre (un habit),anziehen
,il met (un habit,er zieht ... an
,il a mis (un habit),er hat ... angezogen
,le pantalon,die Hose
,les pantalons,die Hosen
,la jupe,der Rock
,les jupes,die Röcke
,la robe ,das Kleid
,les robes,die Kleider
,"la blouse, le chemisier",die Bluse
,"les blouses, les chemisiers",die Blusen
,la chemise,das Hemd
,les chemises,die Hemden
,le manteau,der Mantel
,les manteaux,die Mäntel
,le parapluie,der Schirm
,les parapluies,die Schirme
,"la chaine, le collier",die Kette
,"les chaines, les colliers",die Ketten
,les lunettes de soleil ,die Sonnenbrille
,les chaussures,die Schuhe
,porter,tragen
,il porte,er trägt
,il a porté,er hat getragen
,Elle préfère porter des jupes.,Sie trägt am liebsten Röcke.
,prêter,leihen
,il prête ,er leiht
,il a prêté,er hat geliehen
,Peux-tu me prêter une veste ?,Kannst du mir eine Jacke leihen ?
,les fringues,die Klamotten
,Mes fringues préférées sont bleues. ,Meine Lieblingsklamotten sind blau.
,la ceinture ,der Gürtel
,les ceintures,die Gürtel
,le collant,die Strumpfhose
,les collants,die Strumpfhosen
,les chaussettes,die Socken
,les bottes,die Stiefel
,le sweatshirt,das Sweatshirt
,les sweatshirts,die Sweatshirts
,la capuche ,die Kapuze
,les capuches,die Kapuzen
,Elle aime le sweatshirt à capuche.,Sie mag das Sweatshirt mit Kapuze.
,le top (partie supérieure d'un vêtement),das Oberteil
,les tops (partie supérieure d'un vêtement),die Oberteile
,haut,hoch
,Elle porte des chaussures hautes.,Sie trägt hohe Schuhe. 
,le magasin de chaussures,das Schuhgeschäft
,les magasins de chaussures,die Schuhgeschäfte
,l'agence de voyages,das Reisebüro
,les agences de voyages,die Reisebüros
,le grand magasin,das Kaufhaus
,les grands magasins,die Kaufhäuser
,le centre commercial,das Shoppingcenter
,les centres commerciaux,die Shoppingcenter
,la librairie,die Buchhandlung
,les librairies,die Buchhandlungen
,le snack-bar,der Imbiss
,les snack-bars,die Imbisse
,le vendeur,der Verkäufer
,les vendeurs,die Verkäufer
,la vendeuse,die Verkäuferin
,les vendeuses,die Verkäuferinnen
,"Pardon, où puis-je trouver... ?","Entschuldigung, wo finde ich ... ?"
,Je cherche...,Ich suche ...
,coûter,kosten
,Combien coûte la blouse ?,Wie viel / Was kostet die Bluse ?
,bon marché,billig
,cher,teuer
,Ça a l'air cool.,Das sieht cool aus.
,Ça a l’air bien.,Das sieht gut aus.
,Ça a l’air sportif.,Das sieht sportlich aus.
,Ça (ne) me plaît (pas).,Das gefällt mir (nicht).
,Ça (ne) me va (pas).,Das passt mir (nicht).
,Ça (ne) te va (pas) bien.,Das steht dir (nicht).
,Je prends ça.,Das nehme ich.
,court,kurz
,long,lang
,acheter,kaufen
,il achète,er kauft
,il a acheté,er hat gekauft
,J'achète un pantalon.,Ich kaufe eine Hose.
,vendre,verkaufen
,il vend,er verkauft
,il a vendu,er hat verkauft
,"Je n'ai plus besoin de mon natel, je le vends.","Ich brauche mein Handy nicht mehr, ich verkaufe es."
,la taille,die Grösse
,les tailles,die Grössen
,Quelle taille as-tu ?,Welche Grösse hast du ?
,étroit,eng
,large,weit
,Le jean est trop étroit.,Die Jeans ist zu eng.
,confortable,bequem
,inconfortable,unbequem
,la couleur,die Farbe
,les couleurs,die Farben
,clair,hell
,foncé,dunkel
,J'aime bien le bleu foncé.,Ich mag Dunkelblau.
,le prix,der Preis
,les prix,die Preise
,la caisse,die Kasse
,les caisses,die Kassen
,payer,bezahlen
,il paie,er bezahlt
,il a payé,er hat bezahlt
,Tu peux payer à la caisse.,Du kannst an der Kasse bezahlen.
,l'entrée,der Eingang
,les entrées,die Eingänge
,Puis-je t’aider ? ,Kann ich dir helfen ?
,Puis-je vous aider ? ,Kann ich Ihnen helfen ?
,essayer (un vêtement),anprobieren
,il essaie (un vêtement),er probiert ... an
,il a essayé (un vêtement),er hat anprobiert
,Est-ce que je peux essayer cela ?,Kann ich das anprobieren ?
,élégant,elegant
,être à la mode,modisch sein
,être in,in sein
,le casque,der Kopfhörer
,les casques,die Kopfhörer
,la batterie,der Akku
,les batteries,die Akkus
,jeter,wegwerfen
,il jette,er wirft ... weg
,il a jeté,er hat weggeworfen
,échanger,tauschen
,il échange,er tauscht
,il a échangé,er hat getauscht
,le défilé de mode,die Modeschau
,les défilés de mode,die Modeschauen
,le centime,der Rappen
,les centimes,die Rappen
,l'entrée,der Eintritt
,L'entrée coûte trois francs. ,Der Eintritt kostet drei Franken.
,"la misère, le besoin",die Not
,le mannequin,das Model
,les mannequins,die Models
,la vente,der Verkauf
,les ventes,die Verkäufe
,mondial,weltweit
,le matériau,das Material
,les matériaux,die Materialien
K5,la viande,das Fleisch
,le poisson,der Fisch
,les poissons,die Fische
,"les nouilles, les pâtes",die Nudeln
,le pain,das Brot
,les pains,die Brote
,le petit pain,das Brötchen
,les petits pains,die Brötchen
,la pomme,der Apfel
,les pommes,die Äpfel
,la tomate,die Tomate
,les tomates,die Tomaten
,la carotte,die Karotte
,les carottes,die Karotten
,la pomme de terre,die Kartoffel
,les pommes de terre,die Kartoffeln
,le fromage,der Käse
,le yogurt,der Joghurt
,les yogourts,die Joghurts
,le lait,die Milch
,le beurre,die Butter 
,l’eau minérale,das Mineralwasser
,le jus de pomme,der Apfelsaft
,les jus d’orange,die Orangensäfte
,la limonade,die Limonade
,les limonades ,die Limonaden
,le chocolat,die Schokolade
,les chocolats,die Schokoladen
,le riz,der Reis
,"le saucisson, la saucisse",die Wurst
,"les saucissons, les saucisses",die Würste
,le jambon,der Schinken
,les jambons,die Schinken
,la poire,die Birne
,les poires,die Birnen
,le(s) raisin(s),die Trauben
,les fruits 1,die Früchte
,les fruits 2,die Obst
,les légumes,das Gemüse
,le sel,das Salz
,le poivre,der Pfeffer
,Donne-moi stp le sel et le poivre !,Gib mir bitte Salz und Pfeffer!
,la farine,das Mehl
,le sucre,der Zucker
,la graisse,das Fett
,les graisses,die Fette
,l’huile,das Öl
,les huiles,die Öle
,l’oeuf,das Ei
,les oeufs,die Eier
,frais,frisch
,Les oeufs sont frais.,Die Eier sind frisch.
,les sucreries,die Süssigkeiten
,le melon,die Melone
,les melons,die Melonen
,"le piment, le poivron",die Paprika
,"les piments, les poivrons",die Paprikas
,le concombre,die Gurke
,les concombres,die Gurken
,le biscuit,der Keks
,les biscuits,die Kekse
,l’olive,die Olive
,les olives,die Oliven 
,"la noisette, la noix",die Nuss
,"les noisettes, les noix",die Nüsse 
,la fraise,die Erdbeere
,les fraises,die Erdbeeren
,Je mange volontiers du chocolat.,Ich esse gern Schokolade.
,J’aime les olives.,Ich mag Oliven.
,Ce que je préfère c’est le melon.,Am liebsten esse ich Melone.
,Ce que j’aime le plus ce sont les fraises.,Am liebsten mag ich Erdbeeren.
,C'est bon.,Das schmeckt gut.
,C'est délicieux.,Das schmeckt lecker.
,C'est fantastique.,Das schmeckt fantastisch.
,Je ne mange pas volontiers des biscuits.,Ich esse nicht gern Kekse.
,Je n’aime pas le poivron.,Ich mag keine Paprika. 
,Mon repas préféré est la saucisse avec des pâtes.,Meine Lieblingsessen ist Wurst mit Nudeln.
,Ce que j'aime le moins ce sont les oeufs.,Am wenigsten gern esse ich Eier.
,J'aime particulièrement ça.,Das schmeckt mir besonders gut. 
,Je n’aime pas particulièrement les poires.,Birnen schmecken mir nicht besonders.
,Je n’aime pas du tout le jambon.,Schinken schmeckt mir gar nicht.
,C’est trop sucré.,Das ist mir zu süss.
,C'est trop salé,Das ist mir zu salzig.
,C’est trop acide.,Das ist mir zu sauer.
,C'est trop fort (piquant). ,Das ist mir zu scharf.
,sucré,süss
,salé,salzig
,"acide, aigre",sauer
,"piquant, fort",scharf
,gras,fett
,"goûter, essayer",probieren
,il goûte,er probiert 
,il a goûté,er hat probiert
,"Oh, délicieux ! Il faut que tu goûtes la soupe !","Oh, lecker! Die Suppe musst du probieren!"
,C’est la viande que j'aime le mieux.,Am besten schmeckt mir Fleisch.
,C'est le poisson que j’aime le moins.,Am wenigsten schmeckt mir Fisch.
,le végétarien,der Vegetarier
,les végétariens,die Vegetarier
,la végétarienne,die Vegetarierin
,les végétariennes,die Vegetarierinnen
,sain,gesund
,malsain,ungesund
,"le morceau, la tranche",das Stück
,"les morceaux, les tranches",die Stücke
,une tranche de pizza,ein Stück Pizza
,un morceau de gâteau,ein Stück Kuchen
,la portion,die Portion
,les portions,die Portionen
,une portion de frites,eine Portion Pommes
,une portion de spaghetti,eine Portion Spaghetti
,trop,zu viel
,trop souvent,zu oft
,"tous les jours, quotidiennement",täglich
,chaque jour,jeden Tag
,le plat,das Gericht
,les plats,die Gerichte
,Les hamburgers et les kebabs sont des plats typiques de la restauration rapide. ,Burger und Döner sind typische Fastfood-Gerichte.
,pas jour,pro Tag
,la calorie,die Kalorie
,les calories,die Kalorien
,la vitamine,das Vitamin
,les vitamines,die Vitamine
,riche en vitamines,vitaminreich
,"le changement, la variété",die Abwechslung
,"les changements, les variétés",die Abwechslungen
,"Pour une alimentation saine, il est important de manger varié.",Für eine gesunde Ernährung ist Abwechslung wichtig.
,le kilogramme,das Kilogramm
,les kilogrammes,die Kiligramm
,le gramme,das Gramm
,les grammes,die Gramm
,le litre,der Liter
,les litres,die Liter
,"cuire au four, faire un gâteau",backen
,il cuit au four,er backt
,il a cuit au four,er hat gebacken
,rôtir,braten
,il rôti,er brät
,il a rôti,er hat gebraten
,Il fait des crêpes (à la poêle). ,Er brät die Pfannkuchen.
,"cuisiner, cuire (dans une marmite)",kochen
,il cuisine,er kocht
,il a cuisiné,er hat gekocht
,Nous cuisons des pâtes.,Wir kochen Nudeln.
,prêt-e,fertig
,Le repas est bientôt prêt !,Das Essen ist gleich fertig!
,mélanger,mischen
,il mélange,er mischt
,il a mélangé,er hat gemischt
,ajouter,dazugeben
,il ajoute,er gibt … dazu
,il a ajouté,er hat dazugegeben
,tourner,umdrehen
,il tourne,er dreht … um
,il a tourné,er hat umgedreht
,chaud,heiss
,froid,kalt
,l’ingrédient,die Zutat
,les ingrédients,die Zutaten
,la pâte,der Teig
,la pincée,die Prise
,une pincée de sel,eine Prise Salz
,une pincée de sucre,eine Prise Zucker
K6,Le livre,das Buch
,les livres,die Bücher
,le film,der Film
,les films,die Filme
,lire,lesen
,il lit,er liest
,il a lu,er hat gelesen
,insolent,frech
,intéressant,interessant
,inintéressant,uninteressant
,ennuyeux,langweilig
,"facile, simple",leicht
,sympathique,sympatisch
,"antipathique, désagréable",unsympathisch
,la bande dessinée,das Comic
,les bandes dessinées,die Comics
,Les BD doivent être bien dessinées.,Comics müssen gut gezeichnet sein.
,"le roman policier, le polar",der Krimi
,"les romans policiers, les polars",die Krimis
,J’adore les romans policiers !,Ich liebe Krimis!
,le roman,der Roman
,les romans,die Romane
,l’histoire d’animaux,die Tiergeschichte
,les histoires d’animaux,die Tiergeschichten
,le magazine,die Zeitschrift
,les magazines,die Zeitschriften
,Elle lit volontiers des magazines.,Sie liest gern Zeitschriften.
,le journal,die Zeitung
,les journaux,die Zeitungen
,l’horaire,der Fahrplan
,les horaires,die Fahrpläne
,"le message, le sms",die Nachricht
,"les messages, les sms",die Nachrichten
,le blog,das Blog
,les blogs,die Blogs
,Mon livre préféré s’appelle…,Mein Lieblingsbuch heisst…
,amusant,witzig
,sérieux,ernst
,passionnant,spannend
,moderne,modern
,"actuel, à la mode",aktuell
